id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
28 January 2022 - 06:36 AM-7.7700-122.3100-1.7,28 January 2022 - 06:36 AM,7.77,122.31,2,1.7,019  km S 75° E of Baliguian (Zamboanga Del Norte),January,2022
28 January 2022 - 05:44 AM-11.2900-124.5600-4.3,28 January 2022 - 05:44 AM,11.29,124.56,8,4.3,009  km S 86° W of Capoocan (Leyte),January,2022
28 January 2022 - 05:32 AM-14.9200-119.9900-1.6,28 January 2022 - 05:32 AM,14.92,119.99,32,1.6,011  km S 71° W of San Antonio (Zambales),January,2022
28 January 2022 - 05:24 AM-12.9000-123.3700-2.4,28 January 2022 - 05:24 AM,12.9,123.37,1,2.4,043  km N 48° W of Monreal (Masbate),January,2022
28 January 2022 - 04:16 AM-5.3200-126.6400-3.8,28 January 2022 - 04:16 AM,5.32,126.64,13,3.8,128  km S 59° E of Jose Abad Santos (Davao Occidental),January,2022
28 January 2022 - 04:15 AM-8.2800-125.7700-2.4,28 January 2022 - 04:15 AM,8.28,125.77,38,2.4,004  km N 84° W of La Paz (Agusan Del Sur),January,2022
28 January 2022 - 04:14 AM-16.5000-121.0400-2.4,28 January 2022 - 04:14 AM,16.5,121.04,18,2.4,004  km S 20° E of Ambaguio (Nueva Vizcaya),January,2022
28 January 2022 - 03:47 AM-6.8000-125.1000-3.2,28 January 2022 - 03:47 AM,6.8,125.1,7,3.2,007  km N 50° W of Magsaysay (Davao Del Sur),January,2022
28 January 2022 - 03:17 AM-10.2100-124.8800-2.1,28 January 2022 - 03:17 AM,10.21,124.88,6,2.1,010  km N 25° E of City Of Maasin (Southern Leyte),January,2022
28 January 2022 - 03:04 AM-19.8000-121.7900-2.3,28 January 2022 - 03:04 AM,19.8,121.79,25,2.3,035  km N 22° W of Babuyan Island (Calayan) (Cagayan),January,2022
28 January 2022 - 02:54 AM-6.6800-126.0100-2.8,28 January 2022 - 02:54 AM,6.68,126.01,53,2.8,007  km N 67° W of Governor Generoso (Davao Oriental),January,2022
28 January 2022 - 02:17 AM-12.6800-121.1500-2.2,28 January 2022 - 02:17 AM,12.68,121.15,6,2.2,025  km N 63° E of Calintaan (Occidental Mindoro),January,2022
28 January 2022 - 12:41 AM-7.6500-127.2200-2.4,28 January 2022 - 12:41 AM,7.65,127.22,1,2.4,074  km N 83° E of Baganga (Davao Oriental),January,2022
28 January 2022 - 12:05 AM-14.9400-120.0400-1.9,28 January 2022 - 12:05 AM,14.94,120.04,33,1.9,005  km S 77° W of San Antonio (Zambales),January,2022
27 January 2022 - 11:44 PM-6.0500-125.7900-2.7,27 January 2022 - 11:44 PM,6.05,125.79,131,2.7,019  km S 32° E of Don Marcelino (Davao Occidental),January,2022
27 January 2022 - 11:36 PM-9.6200-122.5100-1.9,27 January 2022 - 11:36 PM,9.62,122.51,3,1.9,019  km S 28° E of City Of Sipalay (Negros Occidental),January,2022
27 January 2022 - 10:22 PM-15.1500-122.8500-2.9,27 January 2022 - 10:22 PM,15.15,122.85,34,2.9,075  km N 48° E of Jomalig (Quezon),January,2022
27 January 2022 - 10:11 PM-18.1200-121.0600-1.8,27 January 2022 - 10:11 PM,18.12,121.06,11,1.8,015  km S 06° E of Calanasan (Apayao),January,2022
27 January 2022 - 09:36 PM-7.6800-127.0400-2.6,27 January 2022 - 09:36 PM,7.68,127.04,21,2.6,054  km N 77° E of Baganga (Davao Oriental),January,2022
27 January 2022 - 07:11 PM-13.7200-120.7600-2.0,27 January 2022 - 07:11 PM,13.72,120.76,15,2.0,014  km N 61° W of Tingloy (Batangas),January,2022
27 January 2022 - 04:18 PM-16.6900-122.2600-2.7,27 January 2022 - 04:18 PM,16.69,122.26,28,2.7,018  km N 01° E of Dinapigue (Isabela),January,2022
27 January 2022 - 02:15 PM-3.0000-127.5400-5.2,27 January 2022 - 02:15 PM,3.0,127.54,183,5.2,356  km S 41° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
27 January 2022 - 10:46 AM-10.9300-125.6600-2.4,27 January 2022 - 10:46 AM,10.93,125.66,6,2.4,013  km S 29° W of Guiuan (Eastern Samar),January,2022
27 January 2022 - 10:22 AM-15.3900-120.3800-2.7,27 January 2022 - 10:22 AM,15.39,120.38,33,2.7,013  km S 43° W of San Jose (Tarlac),January,2022
